Fecha Gasto,Negocio,Proveedor,Tipo de gasto,Total,Impuestos,Número de Factura
01/12/2024,THE CHEESE WHEEL - PLAZA CLARO,Proveedor Energía SA,Servicios Públicos,450000,85500,FAC-2024-001
02/12/2024,CC Palatino,Mantenimiento Express,Mantenimiento,320000,60800,FAC-2024-002
03/12/2024,CC Gran Estación,Distribuidora Alimentos,Insumos,890000,169100,FAC-2024-003
04/12/2024,Santa Barbará,Proveedor Energía SA,Servicios Públicos,380000,72200,FAC-2024-004
05/12/2024,Green Office,Limpieza Total,Servicios de Limpieza,250000,47500,FAC-2024-005
06/12/2024,Quinta Camacho,Distribuidora Alimentos,Insumos,670000,127300,FAC-2024-006
07/12/2024,CC PLAZA CLARO,Tecnología Pro,Equipamiento,1200000,228000,FAC-2024-007
08/12/2024,Palatino,Proveedor Energía SA,Servicios Públicos,420000,79800,FAC-2024-008
09/12/2024,Gran Estación,Marketing Digital,Publicidad,550000,104500,FAC-2024-009
10/12/2024,Santa Barbara,Mantenimiento Express,Mantenimiento,290000,55100,FAC-2024-010
11/12/2024,Green Office,Distribuidora Alimentos,Insumos,780000,148200,FAC-2024-011
12/12/2024,Quinta Camacho,Limpieza Total,Servicios de Limpieza,260000,49400,FAC-2024-012
13/12/2024,CC Plaza Claro,Proveedor Energía SA,Servicios Públicos,470000,89300,FAC-2024-013
14/12/2024,CC Palatino,Distribuidora Alimentos,Insumos,920000,174800,FAC-2024-014
15/12/2024,CC Gran Estación,Tecnología Pro,Equipamiento,850000,161500,FAC-2024-015
16/11/2024,Santa Barbará,Marketing Digital,Publicidad,480000,91200,FAC-2024-016
17/11/2024,Green Office,Mantenimiento Express,Mantenimiento,310000,58900,FAC-2024-017
18/11/2024,Quinta Camacho,Proveedor Energía SA,Servicios Públicos,390000,74100,FAC-2024-018
19/11/2024,THE CHEESE WHEEL - PLAZA CLARO,Distribuidora Alimentos,Insumos,710000,134900,FAC-2024-019
20/11/2024,CC Palatino,Limpieza Total,Servicios de Limpieza,270000,51300,FAC-2024-020
21/11/2024,CC Gran Estación,Proveedor Energía SA,Servicios Públicos,440000,83600,FAC-2024-021
22/11/2024,Santa Barbará,Distribuidora Alimentos,Insumos,650000,123500,FAC-2024-022
23/11/2024,Green Office,Marketing Digital,Publicidad,520000,98800,FAC-2024-023
24/11/2024,Quinta Camacho,Mantenimiento Express,Mantenimiento,300000,57000,FAC-2024-024
25/10/2024,CC Plaza Claro,Tecnología Pro,Equipamiento,950000,180500,FAC-2024-025
26/10/2024,CC Palatino,Proveedor Energía SA,Servicios Públicos,460000,87400,FAC-2024-026
27/10/2024,CC Gran Estación,Distribuidora Alimentos,Insumos,880000,167200,FAC-2024-027
28/10/2024,Santa Barbará,Limpieza Total,Servicios de Limpieza,280000,53200,FAC-2024-028
29/10/2024,Green Office,Proveedor Energía SA,Servicios Públicos,410000,77900,FAC-2024-029
30/10/2024,Quinta Camacho,Marketing Digital,Publicidad,490000,93100,FAC-2024-030
